Fecha,Saturación,N° de pallets
2026-02-06 00:41:43.444633,38.18,42
2026-02-06 01:32:20.338028,34.55,38
2026-02-06 02:06:31.711705,33.64,37
2026-02-06 02:56:28.718435,50.91,56
2026-02-06 03:14:21.021922,50.91,56
2026-02-06 03:46:09.506760,34.55,38
2026-02-06 04:36:36.012891,33.64,37
2026-02-06 04:53:08.037721,30.0,33
2026-02-06 05:57:48.687701,35.45,39
2026-02-06 06:15:32.969618,42.73,47
2026-02-06 07:38:20.406495,43.64,48
2026-02-06 07:53:40.206364,43.64,48
2026-02-06 08:43:20.362989,28.18,31
2026-02-06 11:46:17.636995,14.55,16
2026-02-06 12:15:33.056966,6.36,7
2026-02-06 12:30:52.788688,6.36,7
2026-02-06 13:16:54.101950,24.55,27
2026-02-06 13:32:16.572145,20.0,22
2026-02-06 13:50:11.198775,20.0,22
2026-02-06 14:23:15.777775,32.73,36
2026-02-06 14:55:08.488795,32.73,36
2026-02-06 16:02:54.708645,36.36,40
2026-02-06 16:19:27.310750,36.36,40
