Fecha,Saturación,N° de pallets
2026-03-26 00:13:54.057993,164.55,181
2026-03-26 00:31:29.134427,152.73,168
2026-03-26 00:48:42.578915,141.82,156
2026-03-26 01:04:21.346111,164.55,181
2026-03-26 01:19:57.023054,162.73,179
2026-03-26 01:35:37.246497,144.55,159
2026-03-26 01:51:16.343225,130.0,143
2026-03-26 02:08:09.456860,132.73,146
2026-03-26 02:23:48.001773,122.73,135
2026-03-26 02:39:31.774186,122.73,135
2026-03-26 02:58:45.689993,108.18,119
2026-03-26 04:01:03.534950,98.18,108
2026-03-26 04:18:46.848864,98.18,108
2026-03-26 04:37:39.260713,140.0,154
2026-03-26 04:55:05.474059,126.36,139
2026-03-26 05:13:48.987684,117.27,129
2026-03-26 05:29:28.641902,139.09,153
2026-03-26 05:46:20.116294,128.18,141
2026-03-26 06:02:05.284542,145.45,160
2026-03-26 06:17:57.475092,155.45,171
2026-03-26 06:35:08.221121,156.36,172
2026-03-26 06:50:47.302545,156.36,172
2026-03-26 07:06:25.459086,156.36,172
2026-03-26 07:22:09.666234,149.09,164
2026-03-26 07:38:01.057878,143.64,158
2026-03-26 07:53:45.569660,136.36,150
2026-03-26 08:09:32.136373,137.27,151
2026-03-26 08:26:34.439813,129.09,142
2026-03-26 08:47:07.195018,116.82,128
2026-03-26 09:02:56.512247,116.36,128
2026-03-26 17:06:10.156371,86.36,95
2026-03-26 17:22:03.313358,100.91,111
