Fecha,Saturación,N° de pallets
2025-11-07 00:05:36.797516,218.18,240
2025-11-07 00:21:04.802289,200.0,220
2025-11-07 00:36:28.487465,209.09,230
2025-11-07 00:51:55.243550,191.82,211
2025-11-07 01:07:23.706628,230.0,253
2025-11-07 01:59:43.997396,195.45,215
2025-11-07 02:15:15.527580,195.45,215
2025-11-07 02:30:45.735769,195.45,215
2025-11-07 02:47:56.801019,194.55,214
2025-11-07 03:04:39.946822,183.64,202
2025-11-07 03:20:11.501619,165.45,182
2025-11-07 03:38:04.136505,165.45,182
2025-11-07 03:53:25.545120,169.09,186
2025-11-07 04:08:46.816442,162.73,179
2025-11-07 04:25:13.993670,141.82,156
2025-11-07 04:40:35.639902,135.45,149
2025-11-07 04:55:55.572636,143.64,158
2025-11-07 05:27:38.331371,135.45,149
2025-11-07 05:43:00.188016,159.09,175
2025-11-07 05:58:21.536994,134.55,148
2025-11-07 06:49:09.088277,152.73,168
2025-11-07 07:04:33.459566,152.73,168
2025-11-07 07:37:46.848399,140.0,154
2025-11-07 07:53:08.294915,136.36,150
2025-11-07 08:10:57.868600,133.64,147
2025-11-07 08:28:28.328904,130.91,144
2025-11-07 08:43:48.038663,130.91,144
2025-11-07 08:59:05.756230,129.09,142
2025-11-07 10:03:13.638789,119.09,131
2025-11-07 10:21:09.880757,117.27,129
