Fecha,Saturación,N° de pallets
2026-08-29 00:06:08.902153,70.0,77
2026-08-29 00:16:41.736648,50.0,55
2026-08-29 00:40:05.495309,72.73,80
2026-08-29 00:52:17.651036,64.55,71
2026-08-29 01:04:35.971811,60.91,67
2026-08-29 01:29:55.059914,60.0,66
2026-08-29 01:42:18.239456,60.0,66
2026-08-29 02:09:06.050644,40.91,45
2026-08-29 02:21:43.934669,39.09,43
2026-08-29 02:46:24.751117,68.18,75
2026-08-29 02:56:50.141852,52.73,58
2026-08-29 03:09:08.920445,52.73,58
2026-08-29 03:34:09.176819,52.73,58
2026-08-29 03:46:19.455060,52.73,58
2026-08-29 03:56:57.645102,57.27,63
2026-08-29 04:22:05.234293,46.36,51
2026-08-29 04:34:28.037559,36.36,40
2026-08-29 04:46:35.264690,36.36,40
2026-08-29 05:11:32.967619,41.82,46
2026-08-29 05:22:03.659812,41.82,46
2026-08-29 05:34:48.843304,42.73,47
2026-08-29 06:00:01.515189,53.64,59
2026-08-29 06:12:11.434113,69.09,76
2026-08-29 06:22:41.686133,69.09,76
2026-08-29 06:47:58.719410,69.09,76
2026-08-29 07:00:02.956966,69.09,76
2026-08-29 07:11:59.363396,62.73,69
2026-08-29 07:37:15.213345,58.18,64
2026-08-29 07:47:45.352550,50.91,56
2026-08-29 08:00:01.023353,44.55,49
2026-08-29 08:25:02.384340,45.45,50
2026-08-29 08:38:54.803720,55.45,61
2026-08-29 09:02:01.463592,64.55,71
2026-08-29 09:14:26.618701,50.91,56
2026-08-29 09:26:44.358217,30.0,33
