Fecha,Saturación,N° de pallets
2026-08-29 00:06:08.902153,70.0,77
2026-08-29 00:16:41.736648,50.0,55
2026-08-29 00:40:05.495309,72.73,80
2026-08-29 00:52:17.651036,64.55,71
2026-08-29 01:04:35.971811,60.91,67
2026-08-29 01:29:55.059914,60.0,66
2026-08-29 01:42:18.239456,60.0,66
2026-08-29 02:09:06.050644,40.91,45
2026-08-29 02:21:43.934669,39.09,43
2026-08-29 02:46:24.751117,68.18,75
2026-08-29 02:56:50.141852,52.73,58
2026-08-29 03:09:08.920445,52.73,58
2026-08-29 03:34:09.176819,52.73,58
2026-08-29 03:46:19.455060,52.73,58
2026-08-29 03:56:57.645102,57.27,63
2026-08-29 04:22:05.234293,46.36,51
